Date,number_of_tweets,avg_vader_sentiment_score
2012-06-21,5,0.16868
2012-06-22,9,0.19200000000000003
2012-06-25,9,0.2077888888888889
2012-06-26,5,-0.1085
2012-06-27,6,0.17938333333333334
2012-06-28,7,-0.1557714285714286
2012-06-29,11,0.5668727272727273
2012-07-02,9,0.02531111111111111
2012-07-03,13,0.1562076923076923
2012-07-05,6,-0.09238333333333333
2012-07-06,6,0.3068166666666667
2012-07-07,1,0.7964
2012-07-09,2,0.65715
2012-07-10,7,0.11297142857142857
2012-07-11,13,0.1896769230769231
2012-07-12,6,-0.12925
2012-07-13,14,0.05190000000000001
2012-07-16,4,0.30110000000000003
2012-07-17,20,0.15706
2012-07-18,21,0.12123333333333332
2012-07-19,15,-0.013020000000000002
2012-07-20,11,-0.2671818181818182
2012-07-23,8,-0.0002124999999999974
2012-07-24,9,0.09972222222222223
2012-07-25,9,0.07306666666666668
2012-07-26,2,-0.37545
2012-07-27,6,0.16631666666666667
2012-07-30,7,0.08074285714285716
2012-07-31,14,0.03312857142857143
2012-08-01,13,0.2470153846153846
2012-08-02,11,0.14678181818181815
2012-08-06,11,0.01780909090909092
2012-08-07,20,-0.041255
2012-08-08,15,-0.2561466666666667
2012-08-09,20,0.118165
2012-08-10,17,0.06508235294117648
2012-08-13,8,0.043500000000000004
2012-08-14,12,0.30906666666666666
2012-08-15,16,0.022456249999999997
2012-08-16,22,0.0702772727272727
2012-08-17,19,0.2530631578947369
2012-08-20,3,0.5479666666666666
2012-08-21,21,0.09333809523809525
2012-08-22,15,0.23278
2012-08-23,19,0.20179473684210528
2012-08-24,19,0.043547368421052626
2012-08-27,9,0.015533333333333336
2012-08-28,22,0.028122727272727275
2012-08-29,13,0.09433846153846154
2012-08-30,16,-0.13914375
2012-08-31,12,0.1898416666666667
2012-09-01,3,0.6187666666666667
2012-09-02,4,0.14282499999999998
2012-09-04,9,-0.01111111111111112
2012-09-05,21,0.04631428571428572
2012-09-06,14,0.1359857142857143
2012-09-07,14,-0.24855714285714287
2012-09-10,2,0.23835
2012-09-11,20,0.06414500000000001
2012-09-12,21,-0.2260285714285714
2012-09-13,25,-0.04006400000000001
2012-09-14,19,0.0018473684210526268
2012-09-17,17,0.0037647058823529365
2012-09-18,20,-0.05756999999999999
2012-09-19,19,-0.006652631578947372
2012-09-20,12,0.40995
2012-09-21,12,0.12419166666666666
2012-09-24,14,0.17719285714285715
2012-09-25,29,0.007162068965517234
2012-09-26,20,0.17943
2012-09-27,26,0.12648846153846155
2012-09-28,20,0.396515
2012-10-01,9,0.11374444444444445
2012-10-02,23,0.08619130434782608
2012-10-03,25,0.11776
2012-10-04,20,0.36091
2012-10-05,8,0.527225
2012-10-08,10,0.06126
2012-10-09,21,0.07738095238095238
2012-10-10,23,0.2018304347826087
2012-10-11,21,-0.03769523809523809
2012-10-12,27,0.30224814814814815
2012-10-13,9,0.2525222222222222
2012-10-14,9,0.049044444444444425
