Date,number_of_tweets,avg_vader_sentiment,avg_finbert_sentiment
2011-08-16,2,0.0,-0.30907949805259705
2011-08-17,4,-0.0018749999999999878,0.24274472892284393
2011-08-18,4,-0.09904999999999999,0.0
2011-08-19,3,0.3207333333333333,0.23788521687189737
2011-08-22,3,-0.08153333333333333,-0.33296648661295575
2011-08-23,4,-0.433975,-0.42632921040058136
2011-08-24,3,-0.13286666666666666,-0.31262733538945514
2011-08-25,4,-0.02112499999999999,0.14584381878376007
2011-08-26,5,0.09996000000000001,-0.18785274028778076
2011-08-29,4,-0.20127499999999998,0.0
2011-08-30,4,-0.080175,-0.24979810416698456
2011-08-31,4,-0.20655,0.17325544357299805
2011-09-01,4,-0.435325,-0.24840353429317474
2011-09-02,2,-0.38544999999999996,-0.4228283762931824
2011-09-06,5,-0.17282000000000003,0.0
2011-09-07,5,0.12178,0.19999053478240966
2011-09-08,6,0.046716666666666684,0.17015552520751953
2011-09-09,3,-0.02463333333333334,0.0
2011-09-12,6,0.10853333333333333,0.323480486869812
2011-09-13,8,0.2035625,0.07721374928951263
2011-09-14,5,-0.015180000000000016,0.19999234676361083
2011-09-15,5,0.09316,0.3981219887733459
2011-09-16,6,0.49110000000000004,0.33315056562423706
2011-09-19,6,0.06766666666666667,-0.1653600037097931
2011-09-20,4,-0.19215,-0.10640750080347061
2011-09-21,6,0.23538333333333336,0.16666477918624878
2011-09-22,4,-0.1482,0.2496389001607895
2011-09-23,3,0.30329999999999996,-0.2597821553548177
2011-09-26,2,-0.65855,-0.9993582367897034
2011-09-27,6,-0.11088333333333333,-0.16666658719380698
2011-09-28,8,0.281725,0.24988406151533127
2011-09-29,8,0.015600000000000017,-0.1413206160068512
2011-09-30,8,-0.0566875,-0.12431614845991135
2011-10-03,8,0.06072500000000001,0.14399626106023788
2011-10-04,7,0.19567142857142855,0.23217982905251638
2011-10-05,2,-0.08424999999999999,0.49921610951423645
2011-10-06,4,-0.328225,0.0
2011-10-07,6,-0.15018333333333336,-0.5176983674367269
2011-10-11,7,0.05975714285714285,0.0
2011-10-12,2,0.40845,0.4999971389770508
2011-10-13,2,0.0,0.0
2011-10-14,3,-0.6655333333333333,0.0
2011-10-15,2,0.0,0.0
2011-10-16,1,0.7184,0.0
2011-10-17,6,-0.037216666666666655,-0.019134581089019775
2011-10-18,7,-0.22762857142857143,-0.2856327295303345
2011-10-19,5,-0.15658,-0.1900612473487854
2011-10-20,8,-0.1701625,-0.08514761179685593
2011-10-21,6,-0.24760000000000001,-0.1369025707244873
2011-10-24,6,-0.02238333333333335,0.11459364493687947
2011-10-25,7,0.18945714285714285,0.0
2011-10-26,7,-0.01575714285714284,-0.02840956619807652
2011-10-27,5,0.13996000000000003,-0.5264979600906372
2011-10-28,4,-0.14355,-0.24985069036483765
2011-10-31,1,0.0,0.0
2011-11-01,6,-0.2906166666666667,0.0
2011-11-02,8,-0.2169125,-0.4993368089199066
2011-11-04,5,-0.2655,-0.07576591968536377
2011-11-08,5,-0.28916,-0.19985244274139405
2011-11-09,5,-0.09548000000000001,-0.3502219557762146
2011-11-10,9,0.05875555555555556,-0.13532543182373047
2011-11-11,8,0.1249125,0.026941686868667603
2011-11-14,5,-0.06680000000000001,-0.09285925626754761
2011-11-15,6,-0.09563333333333333,-0.3333258628845215
2011-11-16,4,0.084425,0.49179667234420776
2011-11-17,6,-0.22424999999999998,-0.48784351348876953
2011-11-18,5,-0.31984,-0.3975690960884094
2011-11-21,6,0.11523333333333334,-0.3142717281977336
2011-11-22,6,-0.11801666666666667,-0.16604684789975485
2011-11-23,4,0.351975,0.022402554750442505
2011-11-28,8,0.0625375,-0.3739304095506668
2011-11-29,9,-0.2050666666666667,-0.40462353494432235
2011-11-30,7,-0.06509999999999998,-0.5603000181061881
2011-12-01,6,-0.20810000000000003,-0.3289277255535126
2011-12-02,9,0.07446666666666665,0.0
2011-12-05,5,-0.23344,-0.19564961194992064
2011-12-06,9,0.11154444444444442,-0.09910469584994847
2011-12-07,3,-0.22119999999999998,0.0
2011-12-08,14,0.17986428571428573,0.02328193187713623
2011-12-09,16,0.13459375,0.2498876228928566
2011-12-12,6,-0.19685,0.0
2011-12-13,12,0.04604166666666667,-0.08329578737417857
2011-12-14,20,-0.07363,-0.09866873323917388
2011-12-15,11,0.18374545454545455,-0.13535086675123734
2011-12-16,11,0.2747727272727273,0.13159520517696033
2011-12-19,4,-0.19090000000000001,0.09040337800979614
2011-12-20,15,0.24368666666666666,0.03341330687204997
2011-12-21,10,0.21248999999999998,0.16059871315956115
2011-12-22,10,0.18019,0.1999996542930603
2011-12-27,6,-0.21386666666666665,0.0
2011-12-28,7,0.051414285714285746,0.1419396230152675
2011-12-29,6,-0.13985,0.032791336377461754
2011-12-30,4,-0.06785000000000002,-0.242059588432312
2012-01-03,11,0.022445454545454543,-0.003668102351101962
2012-01-04,12,0.2751,0.37819812695185345
2012-01-05,7,0.036014285714285714,-0.010734941278185164
2012-01-06,6,0.42169999999999996,0.0
2012-01-09,9,-0.07222222222222224,-0.31340822246339584
2012-01-10,9,0.28068888888888893,-0.00011408991283840603
2012-01-11,4,0.182,0.23083193600177765
2012-01-12,5,-0.04862000000000001,-0.19618459939956664
2012-01-13,7,-0.05287142857142856,0.26113670212881906
2012-01-16,1,-0.4588,0.0
2012-01-17,6,-0.2894666666666667,-0.16662461558977762
2012-01-18,7,-0.10605714285714286,-0.28466224670410156
2012-01-19,9,0.28794444444444445,0.3114344875017802
2012-01-20,7,-0.27475714285714287,-0.2848743626049587
2012-01-23,8,-0.052974999999999994,-0.19544830173254013
2012-01-24,6,-0.2627833333333333,-0.30738470951716107
2012-01-25,12,0.031075000000000002,-0.0828577329715093
2012-01-26,10,0.13394,-0.19995224475860596
2012-01-27,10,0.12763,-0.05053408145904541
2012-01-30,5,-0.036760000000000015,-0.19968050718307495
2012-01-31,11,-0.11869999999999999,-0.4389542991464788
2012-02-01,14,-0.07622857142857144,0.14687578592981612
2012-02-02,2,0.1591,0.4579784870147705
2012-02-03,9,-0.0735777777777778,-0.22824719879362318
2012-02-05,3,0.25723333333333337,0.0
2012-02-06,8,-0.02127499999999999,0.06147230044007301
2012-02-07,10,-0.10586,-0.14581068158149718
2012-02-08,22,0.058640909090909084,-0.023986586115577004
2012-02-09,20,0.11000499999999999,0.05113802254199982
2012-02-10,8,0.240875,0.11892683804035187
2012-02-13,7,0.3585142857142857,4.6832220894949776e-06
2012-02-14,12,-0.0231,0.0
2012-02-15,20,0.082535,0.10435667037963867
2012-02-16,13,0.00936153846153846,0.002184423116537241
2012-02-17,10,0.055220000000000005,-0.1894699215888977
2012-02-21,7,-0.19721428571428573,-0.28143785681043354
2012-02-22,11,-0.0740090909090909,-0.07957678491419012
2012-02-23,11,0.19098181818181817,0.2660428068854592
2012-02-24,12,0.09789166666666667,0.14814707140127817
2012-02-27,7,-0.15701428571428572,-0.5435459188052586
2012-02-28,11,0.054009090909090895,0.00023053992878306997
2012-02-29,8,0.27565,0.48421475291252136
2012-03-01,6,0.16126666666666667,-0.15294265747070312
2012-03-05,6,0.1215666666666667,-0.6656050682067871
2012-03-06,10,-0.12289999999999998,-0.23438444137573242
2012-03-07,8,0.2268,0.37005218118429184
2012-03-08,7,0.24222857142857143,0.3436868871961321
2012-03-09,5,-0.07304,0.1999962568283081
2012-03-12,10,-0.09947000000000002,-0.18314441442489623
2012-03-13,11,0.08122727272727273,0.1455754962834445
2012-03-14,8,0.1227625,0.1961492896080017
2012-03-15,6,-0.19458333333333333,-0.3315749963124593
2012-03-16,12,0.0715,0.0005105733871459961
2012-03-17,1,0.3182,0.0
2012-03-19,7,-0.11791428571428572,-0.3754740612847464
2012-03-20,9,0.43968888888888885,0.4514792362848918
2012-03-21,8,0.002799999999999997,0.12453025579452515
2012-03-22,3,0.16966666666666666,0.00014235575993855795
2012-03-23,9,0.031666666666666676,0.11110254128774007
2012-03-26,8,0.09093749999999999,-0.10134183615446091
2012-03-28,14,-0.07360000000000001,-0.0724731981754303
2012-03-29,13,-0.053799999999999994,-0.2933328610200148
2012-03-30,16,-0.0543625,0.08203057199716568
2012-04-02,7,0.4002428571428572,0.4262714385986328
2012-04-03,9,0.2065888888888889,-0.11178703440560235
2012-04-04,8,0.01782500000000001,-0.3314281180500984
2012-04-05,9,0.11664444444444445,-0.10971473985248142
2012-04-06,14,0.3209642857142857,0.25297694546835764
2012-04-09,7,0.08677142857142857,-0.2759278586932591
2012-04-10,4,0.397675,0.4999963343143463
2012-04-11,8,-0.0015875000000000056,0.1248144581913948
2012-04-12,7,0.03054285714285715,-0.00031188556126185825
2012-04-13,11,-0.09564545454545453,-0.09007730267264626
2012-04-14,3,0.4218,0.25654510656992596
2012-04-16,8,0.23769999999999997,0.2483464851975441
2012-04-17,6,0.42288333333333333,0.16647468010584512
2012-04-18,6,0.07836666666666668,-0.2792247434457143
2012-04-19,14,0.22543571428571427,0.41021443264825
2012-04-20,3,-0.03673333333333332,-0.6604965726534525
2012-04-22,1,0.0,0.0
2012-04-23,13,0.17434615384615382,-0.005237643535320575
2012-04-24,8,0.4060625,0.12496275454759598
2012-04-25,2,-0.20095,0.0
2012-04-26,8,-0.10648750000000001,-0.2845744788646698
2012-04-27,8,0.126025,-0.03634455054998398
2012-04-30,10,0.06833,0.1865025281906128
2012-05-01,8,-0.06950000000000002,0.04040786623954773
2012-05-02,10,0.05772999999999999,-0.30180203914642334
2012-05-03,6,0.39516666666666667,0.04317524035771688
2012-05-04,10,-0.051460000000000006,0.12087487578392028
2012-05-07,36,0.20266944444444446,0.12283693585130903
2012-05-08,7,0.5757714285714286,0.2693444490432739
2012-05-09,8,-0.14321250000000002,-0.20057443529367447
2012-05-10,7,0.0666,0.07357920919145856
2012-05-11,11,0.005672727272727263,0.040154018185355446
2012-05-14,8,0.4080125,0.2664607912302017
2012-05-15,12,0.1313,0.17186985909938812
2012-05-16,6,0.017566666666666675,0.190941055615743
2012-05-17,6,-0.06496666666666667,-0.0018715957800547283
